date,asset,strategy_value,fixed_value,cash,cash_pct,in_risk,price
2025-05-27,SPX,690.3353736927158,671.3200215025863,0.0,0.0,False,5921.5400390625
2025-05-28,SPX,686.4893597123591,667.5799463356697,0.0,0.0,False,5888.5498046875
2025-05-29,SPX,689.2430018928958,670.2577391857736,0.0,0.0,False,5912.169921875
2025-05-30,SPX,689.187045588611,670.2033242031042,0.0,0.0,False,5911.68994140625
2025-06-02,SPX,693.0141197452689,673.9525263387052,0.0,0.0,False,5935.93994140625
2025-06-03,SPX,697.0338029289342,677.8616467440849,0.0,0.0,False,5970.3701171875
2025-06-04,SPX,697.0851655790623,677.9115966467303,0.0,0.0,False,5970.81005859375
2025-06-05,SPX,693.4063798956922,674.3339972378219,0.0,0.0,False,5939.2998046875
2025-06-06,SPX,700.5350710845585,681.2666113063359,0.0,0.0,False,6000.35986328125
2025-06-09,SPX,701.1795269776752,681.8933412168888,0.0,0.0,False,6005.8798828125
2025-06-10,SPX,705.0240868969747,685.6321551839475,0.0,0.0,False,6038.81005859375
2025-06-11,SPX,703.0895790922057,683.7508566864143,0.0,0.0,False,6022.240234375
2025-06-12,SPX,705.7770827299847,686.3644396057514,0.0,0.0,False,6045.259765625
2025-06-13,SPX,697.8043566933975,678.6110061603558,0.0,0.0,False,5976.97021484375
2025-06-16,SPX,704.3585956898767,684.9849685430103,0.0,0.0,False,6033.10986328125
2025-06-17,SPX,698.4756625401328,679.2638475072529,0.0,0.0,False,5982.72021484375
2025-06-18,SPX,698.2596657794942,679.0537918123316,0.0,0.0,False,5980.8701171875
2025-06-20,SPX,696.738396432859,677.5743655060056,0.0,0.0,False,5967.83984375
2025-06-23,SPX,703.43161671792,684.0834864487599,0.0,0.0,False,6025.169921875
2025-06-24,SPX,711.254986324612,691.6916715645979,0.0,0.0,False,6092.18017578125
2025-06-25,SPX,711.252649067503,691.6893985945552,0.0,0.0,False,6092.16015625
2025-06-26,SPX,716.956981570353,697.2368314560746,0.0,0.0,False,6141.02001953125
2025-06-27,SPX,720.6987591831255,700.8756901795483,0.0,0.0,False,6173.06982421875
2025-06-30,SPX,724.4207556198774,704.4953118150999,0.0,0.0,False,6204.9501953125
2025-07-01,SPX,724.6104684845603,704.7073119081031,0.0,0.0,False,6198.009765625
2025-07-02,SPX,728.0488152933552,708.0512163124945,0.0,0.0,False,6227.419921875
2025-07-03,SPX,734.1199817523101,713.9556236893083,0.0,0.0,False,6279.35009765625
2025-07-07,SPX,728.3481122172248,708.3422923317571,0.0,0.0,False,6229.97998046875
2025-07-08,SPX,727.8266973588184,707.8351993773523,0.0,0.0,False,6225.52001953125
2025-07-09,SPX,732.2388580574266,712.1261695480227,0.0,0.0,False,6263.259765625
2025-07-10,SPX,734.2497360738732,714.0818139986319,0.0,0.0,False,6280.4599609375
2025-07-11,SPX,731.8285307088142,711.727112819726,0.0,0.0,False,6259.75
2025-07-14,SPX,732.8585162890887,712.7288073868737,0.0,0.0,False,6268.56005859375
2025-07-15,SPX,729.9591094494435,709.9090396786214,0.0,0.0,False,6243.759765625
2025-07-16,SPX,732.2903487736827,712.176245948819,0.0,0.0,False,6263.7001953125
2025-07-17,SPX,736.2255067837816,716.0033154486982,0.0,0.0,False,6297.35986328125
2025-07-18,SPX,736.1588885289359,715.9385270232777,0.0,0.0,False,6296.7900390625
2025-07-21,SPX,737.1888741092104,716.9402215904254,0.0,0.0,False,6305.60009765625
2025-07-22,SPX,737.658855336412,717.3972936611079,0.0,0.0,False,6309.6201171875
2025-07-23,SPX,743.421362923087,723.0015202185144,0.0,0.0,False,6358.91015625
2025-07-24,SPX,743.9404372943909,723.506336972883,0.0,0.0,False,6363.35009765625
2025-07-25,SPX,746.8971004404715,726.381788306411,0.0,0.0,False,6388.64013671875
2025-07-28,SPX,747.0291952491372,726.5102548157707,0.0,0.0,False,6389.77001953125
2025-07-29,SPX,744.8184053831023,724.3601895718261,0.0,0.0,False,6370.85986328125
2025-07-30,SPX,743.8878048771093,723.4551502306057,0.0,0.0,False,6362.89990234375
2025-07-31,SPX,741.1392738280015,720.782114149077,0.0,0.0,False,6339.39013671875
2025-08-01,SPX,730.2868758855512,710.2552706145673,0.0,0.0,False,6238.009765625
2025-08-04,SPX,741.0491868458278,720.7223737981761,0.0,0.0,False,6329.93994140625
2025-08-05,SPX,737.4492691994612,717.2212010857269,0.0,0.0,False,6299.18994140625
2025-08-06,SPX,742.8193064126054,722.443939382108,0.0,0.0,False,6345.06005859375
2025-08-07,SPX,742.2269228606285,721.8678047781461,0.0,0.0,False,6340.0
2025-08-08,SPX,748.0160815832869,727.4981681750049,0.0,0.0,False,6389.4501953125
2025-08-11,SPX,746.1429537022507,725.6764197717794,0.0,0.0,False,6373.4501953125
2025-08-12,SPX,754.6082707158818,733.9095350376997,0.0,0.0,False,6445.759765625
2025-08-13,SPX,757.0457149556091,736.2801207284206,0.0,0.0,False,6466.580078125
2025-08-14,SPX,757.2751685479699,736.5032804601877,0.0,0.0,False,6468.5400390625
2025-08-15,SPX,755.0812400789094,734.3695309571422,0.0,0.0,False,6449.7998046875
2025-08-18,SPX,755.0051556914077,734.2955335473309,0.0,0.0,False,6449.14990234375
2025-08-19,SPX,750.5822576341744,729.9939545921682,0.0,0.0,False,6411.3701171875
2025-08-20,SPX,748.7570897840277,728.2188506869377,0.0,0.0,False,6395.77978515625
2025-08-21,SPX,745.7589304751754,725.3029302157225,0.0,0.0,False,6370.169921875
2025-08-22,SPX,757.0843573642877,736.317703184493,0.0,0.0,False,6466.91015625
2025-08-25,SPX,753.8543436033638,733.1762879768434,0.0,0.0,False,6439.31982421875
2025-08-26,SPX,756.9707738346362,736.2072352255938,0.0,0.0,False,6465.93994140625
2025-08-27,SPX,758.7806790766215,737.9674951725825,0.0,0.0,False,6481.39990234375
2025-08-28,SPX,761.1759367814304,740.2970514955794,0.0,0.0,False,6501.85986328125
2025-08-29,SPX,756.3057928580708,735.560494528123,0.0,0.0,False,6460.259765625
2025-09-02,SPX,752.0704324420373,731.468738874503,0.0,0.0,False,6415.5400390625
2025-09-03,SPX,755.9060470209216,735.1992832993317,0.0,0.0,False,6448.259765625
2025-09-04,SPX,762.2152065693913,741.3356141258103,0.0,0.0,False,6502.080078125
2025-09-05,SPX,759.802678838145,738.9891734987742,0.0,0.0,False,6481.5
2025-09-08,SPX,761.4028072600628,740.5454691172803,0.0,0.0,False,6495.14990234375
2025-09-09,SPX,763.4495749978892,742.5361691253839,0.0,0.0,False,6512.60986328125
2025-09-10,SPX,765.7273038583212,744.7515034679778,0.0,0.0,False,6532.0400390625
2025-09-11,SPX,772.2251818259309,751.0713830926754,0.0,0.0,False,6587.47021484375
2025-09-12,SPX,771.8523813819335,750.7087948843646,0.0,0.0,False,6584.2900390625
2025-09-15,SPX,775.4851966405225,754.2420953322172,0.0,0.0,False,6615.27978515625
2025-09-16,SPX,774.486425728913,753.2706840552611,0.0,0.0,False,6606.759765625
2025-09-17,SPX,773.7350436579234,752.5398848213448,0.0,0.0,False,6600.35009765625
2025-09-18,SPX,777.4405529997117,756.143888021317,0.0,0.0,False,6631.9599609375
2025-09-19,SPX,781.2386757482847,759.8379676409188,0.0,0.0,False,6664.35986328125
2025-09-22,SPX,784.683974615881,763.188888391178,0.0,0.0,False,6693.75
2025-09-23,SPX,780.3665184682002,758.989701629859,0.0,0.0,False,6656.919921875
2025-09-24,SPX,778.1451132123888,756.8291480022933,0.0,0.0,False,6637.97021484375
2025-09-25,SPX,774.2473366064537,753.0381443736835,0.0,0.0,False,6604.72021484375
2025-09-26,SPX,778.8168179890372,757.4824525661699,0.0,0.0,False,6643.7001953125
2025-09-29,SPX,780.8694241492938,759.4788310630264,0.0,0.0,False,6661.2099609375
2025-09-30,SPX,784.0638425706992,762.5857438112855,0.0,0.0,False,6688.4599609375
2025-10-01,SPX,787.7295975649956,766.1784749701144,0.0,0.0,False,6711.2001953125
2025-10-02,SPX,788.2166938827987,766.6522450494558,0.0,0.0,False,6715.35009765625
2025-10-03,SPX,788.2683321675781,766.7024705867527,0.0,0.0,False,6715.7900390625
2025-10-06,SPX,791.1428251455067,769.4983216668055,0.0,0.0,False,6740.27978515625
2025-10-07,SPX,788.127458800222,766.5654513074232,0.0,0.0,False,6714.58984375
2025-10-08,SPX,792.7204005360054,771.0327369161232,0.0,0.0,False,6753.72021484375
2025-10-09,SPX,790.5360036591084,768.9081019232984,0.0,0.0,False,6735.10986328125
2025-10-10,SPX,769.1032498660458,748.0617167343456,0.0,0.0,False,6552.509765625
2025-10-13,SPX,781.1002390314501,759.7304859305215,0.0,0.0,False,6654.72021484375
2025-10-14,SPX,779.8783431030394,758.5420192766142,0.0,0.0,False,6644.31005859375
2025-10-15,SPX,783.0181342166441,761.5959103257541,0.0,0.0,False,6671.06005859375
2025-10-16,SPX,778.0895149736982,756.8021308525167,0.0,0.0,False,6629.06982421875
2025-10-17,SPX,782.1906034797621,760.7910196120688,0.0,0.0,False,6664.009765625
2025-10-20,SPX,790.5383534589707,768.9103874360944,0.0,0.0,False,6735.1298828125
2025-10-21,SPX,790.5642012574564,768.9355280768501,0.0,0.0,False,6735.35009765625
2025-10-22,SPX,786.3445338266325,764.8313045374231,0.0,0.0,False,6699.39990234375
2025-10-23,SPX,790.9268728069396,769.2882774664339,0.0,0.0,False,6738.43994140625
2025-10-24,SPX,797.1771111919655,775.3675185268712,0.0,0.0,False,6791.68994140625
2025-10-27,SPX,806.9744584374636,784.8968247691556,0.0,0.0,False,6875.16015625
2025-10-28,SPX,808.8207706951441,786.6926246404327,0.0,0.0,False,6890.89013671875
2025-10-29,SPX,808.7855236972092,786.6583419484931,0.0,0.0,False,6890.58984375
2025-10-30,SPX,800.7746547811901,778.86663861751,0.0,0.0,False,6822.33984375
2025-10-31,SPX,802.8710201315374,780.9056504968077,0.0,0.0,False,6840.2001953125
2025-11-03,SPX,805.252530514011,783.2493647881977,0.0,0.0,False,6851.97021484375
2025-11-04,SPX,795.801418388187,774.0565000798205,0.0,0.0,False,6771.5498046875
2025-11-05,SPX,798.7089231950264,776.884558616466,0.0,0.0,False,6796.2900390625
2025-11-06,SPX,789.7808038616855,768.200396156115,0.0,0.0,False,6720.31982421875
2025-11-07,SPX,790.7773822934447,769.1697435273536,0.0,0.0,False,6728.7998046875
2025-11-10,SPX,802.9561594837731,781.0157410706743,0.0,0.0,False,6832.43017578125
2025-11-11,SPX,804.6225749647595,782.6366224929562,0.0,0.0,False,6846.60986328125
2025-11-12,SPX,805.1290987061735,783.1293056993778,0.0,0.0,False,6850.919921875
2025-11-13,SPX,791.7986929935341,770.1631473687371,0.0,0.0,False,6737.490234375
2025-11-14,SPX,791.4014273470166,769.7767368285698,0.0,0.0,False,6734.10986328125
2025-11-17,SPX,784.1503968169576,762.7238374690319,0.0,0.0,False,6672.41015625
2025-11-18,SPX,777.6761087094409,756.4264563922766,0.0,0.0,False,6617.31982421875
2025-11-19,SPX,780.5953771241867,759.2659571014968,0.0,0.0,False,6642.16015625
2025-11-20,SPX,768.4436275403166,747.44624864736,0.0,0.0,False,6538.759765625
2025-11-21,SPX,775.9920765083216,754.7884396188706,0.0,0.0,False,6602.990234375
2025-11-24,SPX,787.9945143469602,766.4629162045234,0.0,0.0,False,6705.1201171875
2025-11-25,SPX,795.1350817296053,773.4083707728115,0.0,0.0,False,6765.8798828125
2025-11-26,SPX,800.6268503513971,778.7500792699417,0.0,0.0,False,6812.60986328125
2025-11-28,SPX,804.9140255235724,782.9201092954277,0.0,0.0,False,6849.08984375
2025-12-01,SPX,801.6292030729785,779.7523677044566,0.0,0.0,False,6812.6298828125
2025-12-02,SPX,803.5989946178181,781.6684027180078,0.0,0.0,False,6829.3701171875
2025-12-03,SPX,805.993551910266,783.9976114235197,0.0,0.0,False,6849.72021484375
2025-12-04,SPX,806.8642843470308,784.8445811653926,0.0,0.0,False,6857.1201171875
2025-12-05,SPX,808.4268914128634,786.3645439545523,0.0,0.0,False,6870.39990234375
2025-12-08,SPX,805.6157844558464,783.630153419375,0.0,0.0,False,6846.509765625
2025-12-09,SPX,804.9097758657464,782.943412133454,0.0,0.0,False,6840.509765625
2025-12-10,SPX,810.3425602288721,788.2279332738215,0.0,0.0,False,6886.68017578125
2025-12-11,SPX,812.0275467133988,789.8669356901794,0.0,0.0,False,6901.0
2025-12-12,SPX,803.3683697414622,781.4440717022455,0.0,0.0,False,6827.41015625
2025-12-15,SPX,802.0857415053462,780.1964469897698,0.0,0.0,False,6816.509765625
2025-12-16,SPX,800.1736349071585,778.3365226737337,0.0,0.0,False,6800.259765625
2025-12-17,SPX,790.8979069765335,769.3139336907462,0.0,0.0,False,6721.43017578125
2025-12-18,SPX,797.1730983992334,775.4178722085693,0.0,0.0,False,6774.759765625
2025-12-19,SPX,804.2026181731234,782.2555531045546,0.0,0.0,False,6834.5
2025-12-22,SPX,809.3788653980007,787.290538124997,0.0,0.0,False,6878.490234375
2025-12-23,SPX,813.0618538943055,790.8730161450256,0.0,0.0,False,6909.7900390625
2025-12-24,SPX,815.6811181851161,793.4207994899612,0.0,0.0,False,6932.0498046875
2025-12-26,SPX,815.4328545850329,793.1793111194806,0.0,0.0,False,6929.93994140625
